left_arm_angle,right_arm_angle,leg_spread_angle,label,source
25.319828,15.83741,11.319606,jack_in,5
38.455177,29.749922,14.685243,jack_in,5
21.793186,28.255945,9.845204,jack_in,5
22.163778,31.133818,10.50929,jack_in,5
16.94598,25.022589,11.807355,jack_in,5
14.138405,22.940542,13.54363,jack_in,5
17.944445,25.990664,12.088762,jack_in,5
19.677544,21.967949,16.368954,jack_in,5
21.887169,17.942604,9.742432,jack_in,5
26.670452,15.204273,10.85237,jack_in,5
38.23621,24.123817,9.2005625,jack_in,5
36.664383,24.060135,11.636687,jack_in,5
22.811657,27.033941,11.8267,jack_in,5
20.27734,28.533844,10.685645,jack_in,5
8.80821,16.22513,10.144275,jack_in,5
8.119119,20.05609,11.506052,jack_in,5
21.10532,28.381598,10.346685,jack_in,5
22.056532,26.736273,9.474464,jack_in,5
18.028133,16.441458,10.381254,jack_in,5
27.062126,26.54885,10.876612,jack_in,5
166.37477,171.11514,55.160126,jack_out,5
38.067745,27.38169,13.278399,jack_in,5
16.335924,21.81459,9.834793,jack_in,5
15.702061,15.127123,9.590134,jack_in,5
18.143585,20.66416,9.117122,jack_in,5
16.398483,22.534113,10.51571,jack_in,5
14.362956,21.021976,10.773255,jack_in,5
12.1574335,19.20291,9.786732,jack_in,5
13.894854,18.253569,10.140572,jack_in,5
15.694109,16.15075,10.902156,jack_in,5
13.049642,18.752392,13.431455,jack_in,5
15.345259,19.519867,10.781966,jack_in,5
15.786047,20.038218,10.774132,jack_in,5
8.153649,19.583086,8.696623,jack_in,6
13.745167,15.932722,10.646066,jack_in,6
13.058819,15.596753,10.88743,jack_in,6
14.885983,14.67554,10.317705,jack_in,6
13.205869,14.327436,14.23865,jack_in,6
10.29757,14.213108,9.601954,jack_in,6
5.6951914,9.310191,6.964494,jack_in,6
9.558103,18.49622,7.780008,jack_in,6
9.963222,19.369741,8.07015,jack_in,6
12.155164,14.334775,6.41689,jack_in,6
11.667598,18.39793,7.9368424,jack_in,6
29.688656,13.124479,12.801623,jack_in,6
11.935499,13.083387,10.548406,jack_in,6
9.60789,10.31101,11.366886,jack_in,6
6.947632,6.588385,9.113285,jack_in,6
6.492201,15.840125,8.700326,jack_in,6
6.617491,10.471946,9.367099,jack_in,6
15.486234,20.503136,9.619874,jack_in,6
11.324408,16.159012,10.709342,jack_in,6
11.49161,16.89905,10.973663,jack_in,6
20.147873,22.492737,12.517297,jack_in,6
27.787416,35.367348,13.640716,jack_in,6
25.767561,16.793558,9.508987,jack_in,6
8.804173,8.662314,7.740197,jack_in,6
17.937725,24.501612,7.840722,jack_in,6
10.446417,19.142786,8.538262,jack_in,6
10.908943,19.139494,9.080236,jack_in,6
12.211025,21.097939,9.278494,jack_in,6
13.076249,21.20889,9.249983,jack_in,6
17.847235,16.722574,10.06169,jack_in,6
11.710043,9.184058,7.2435374,jack_in,6
10.747062,9.53906,7.896103,jack_in,6
8.655782,24.165995,8.180021,jack_in,6
7.2022514,29.040108,10.261035,jack_in,6
9.745781,26.429184,12.111489,jack_in,6
17.834091,15.357411,9.711526,jack_in,6
32.834232,16.893469,10.405674,jack_in,6
10.435808,9.854627,8.7364645,jack_in,6
14.469456,28.569635,7.132536,jack_in,6
10.185898,26.32136,8.34845,jack_in,6
11.975575,24.101187,10.807896,jack_in,6
12.249136,22.100798,11.717124,jack_in,6
13.004872,19.988434,9.657932,jack_in,6
30.884447,37.718323,12.668204,jack_in,6
19.365973,20.682201,10.6963415,jack_in,6
17.567461,13.44963,7.3199234,jack_in,6
5.9129763,16.910078,6.732981,jack_in,6
6.53486,20.097555,6.8415456,jack_in,6
7.4332895,19.021128,7.4048047,jack_in,6
13.479418,18.584663,6.5661736,jack_in,6
10.065149,17.458502,7.1255465,jack_in,6
35.727264,19.81063,10.787369,jack_in,6
9.348216,13.96782,8.394355,jack_in,6
12.034012,16.015331,7.4174337,jack_in,6
7.093483,11.047815,14.930227,jack_in,6
9.644691,27.133127,21.677006,jack_in,6
22.982456,22.048082,24.349325,jack_in,6
10.144779,15.278969,7.7161217,jack_in,6
10.319193,15.132292,7.676673,jack_in,6
27.728315,23.683062,11.2337,jack_in,6
40.42851,28.195505,13.482158,jack_in,6
8.629214,14.098279,9.660823,jack_in,6
7.8965006,15.954218,8.062144,jack_in,6
12.002669,20.486406,7.4844046,jack_in,6
12.398469,14.688676,8.1305485,jack_in,6
12.056792,14.118062,10.440916,jack_in,6
11.184086,10.999844,8.387263,jack_in,6
40.24977,23.341272,12.159006,jack_in,6
18.655823,17.72011,11.693709,jack_in,6
6.8537474,6.8409724,8.023823,jack_in,6
7.238227,6.7046967,8.103798,jack_in,6
5.789736,9.080474,7.1942105,jack_in,6
11.077147,16.787563,7.0942297,jack_in,6
17.978565,19.114553,7.545144,jack_in,6
12.532241,13.484692,9.735427,jack_in,6
20.655226,19.733957,12.016653,jack_in,6
